"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 17:18:40 EET 2023","Tue Mar 07 17:18:42 EET 2023","1543","","Posobolity open the website: As a user, I can open the website and see the main page","","Posobolity open the website: As a user, I can open the website and see the main page","When Click on ""Accept cookie button"" on ""Main Page""","When Click on ""Accept cookie button"" on ""Main Page""",""
"passed","Tue Mar 07 17:18:37 EET 2023","Tue Mar 07 17:18:40 EET 2023","3349","","Posobolity open the website: As a user, I can open the website and see the main page","","Posobolity open the website: As a user, I can open the website and see the main page","Given Open www.booking.com website","Given Open www.booking.com website",""
"passed","Tue Mar 07 17:18:42 EET 2023","Tue Mar 07 17:18:42 EET 2023","13","","Posobolity open the website: As a user, I can open the website and see the main page","","Posobolity open the website: As a user, I can open the website and see the main page","Then Check the title contains ""Booking.com""","Then Check the title contains ""Booking.com""",""
"passed","Tue Mar 07 17:18:42 EET 2023","Tue Mar 07 17:18:42 EET 2023","19","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","Then Check the title contains ""Booking.com""","Then Check the title contains ""Booking.com""",""
"passed","Tue Mar 07 17:18:42 EET 2023","Tue Mar 07 17:18:50 EET 2023","8289","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","When Type ""Барселона"" on Main Page in ""Where you want to move field""","When Type ""Барселона"" on Main Page in ""Where you want to move field""",""
"passed","Tue Mar 07 17:18:42 EET 2023","Tue Mar 07 17:18:42 EET 2023","0","","Posobolity open the website: As a user, I can open the website and see the main page","","Posobolity open the website: As a user, I can open the website and see the main page","","",""
"passed","Tue Mar 07 17:18:40 EET 2023","Tue Mar 07 17:18:42 EET 2023","1222","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","When Click on ""Accept cookie button"" on ""Main Page""","When Click on ""Accept cookie button"" on ""Main Page""",""
"passed","Tue Mar 07 17:18:37 EET 2023","Tue Mar 07 17:18:40 EET 2023","3577","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","Given Open www.booking.com website","Given Open www.booking.com website",""
"passed","Tue Mar 07 17:18:50 EET 2023","Tue Mar 07 17:18:50 EET 2023","180","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","Then Check the title contains ""Барселона""","Then Check the title contains ""Барселона""",""
"passed","Tue Mar 07 17:18:50 EET 2023","Tue Mar 07 17:18:50 EET 2023","1","","Booking the trip: As a user, I can fill the fields and see list with hotels","","Booking the trip: As a user, I can fill the fields and see list with hotels","","",""
